,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message
41,"{'lon': 42.88, 'lat': 44.14}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 293.15, 'feels_like': 289.81, 'temp_min': 293.15, 'temp_max': 293.15, 'pressure': 1018, 'humidity': 45}",10000.0,"{'speed': 4, 'deg': 130}",{'all': 0},1598818876.0,"{'type': 1, 'id': 8966, 'country': 'RU', 'sunrise': 1598754579, 'sunset': 1598802534}",10800.0,519005.0,Novoblagodarnoye,200,,
42,"{'lon': 37.38, 'lat': 44.89}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 298.15, 'feels_like': 294.09, 'temp_min': 298.15, 'temp_max': 298.15, 'pressure': 1013, 'humidity': 33}",10000.0,"{'speed': 5, 'deg': 80}",{'all': 0},1598818877.0,"{'type': 1, 'id': 8962, 'country': 'RU', 'sunrise': 1598755840, 'sunset': 1598803912}",10800.0,582181.0,Anapskaya,200,,
43,,,,,,,,,,,,,404,,city not found
44,,,,,,,,,,,,,404,,city not found
45,"{'lon': 83.69, 'lat': 53.25}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 288.15, 'feels_like': 286.65, 'temp_min': 288.15, 'temp_max': 288.15, 'pressure': 1018, 'humidity': 82}",10000.0,"{'speed': 3, 'deg': 360}",{'all': 19},1598818877.0,"{'type': 1, 'id': 8945, 'country': 'RU', 'sunrise': 1598830410, 'sunset': 1598879881}",25200.0,1485627.0,Yuzhnyy,200,,
46,"{'lon': -2.16, 'lat': 53.41}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 284.52, 'feels_like': 282.92, 'temp_min': 282.04, 'temp_max': 285.93, 'pressure': 1021, 'humidity': 62}",10000.0,"{'speed': 0.5, 'deg': 0}",{'all': 60},1598818641.0,"{'type': 1, 'id': 1379, 'country': 'GB', 'sunrise': 1598764516, 'sunset': 1598814211}",3600.0,2636882.0,Stockport,200,,
47,"{'lon': -79.57, 'lat': 9.17}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 302.19, 'feels_like': 305.62, 'temp_min': 301.15, 'temp_max': 303.15, 'pressure': 1010, 'humidity': 78}",10000.0,"{'speed': 4.1, 'deg': 150}",{'all': 40},1598818877.0,"{'type': 1, 'id': 7190, 'country': 'PA', 'sunrise': 1598785792, 'sunset': 1598830084}",-18000.0,3713381.0,Calzada Larga,200,,
48,"{'lon': 41.46, 'lat': 51.85}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 292.38, 'feels_like': 290.66, 'temp_min': 292.38, 'temp_max': 292.38, 'pressure': 1020, 'humidity': 54, 'sea_level': 1020, 'grnd_level': 1006}",10000.0,"{'speed': 2.4, 'deg': 191}",{'all': 0},1598818877.0,"{'country': 'RU', 'sunrise': 1598754210, 'sunset': 1598803584}",10800.0,463217.0,Zherdevka,200,,
49,"{'lon': -81.24, 'lat': 32.3}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 307.66, 'feels_like': 311.55, 'temp_min': 307.15, 'temp_max': 308.15, 'pressure': 1009, 'humidity': 52}",10000.0,"{'speed': 2.1, 'deg': 250}",{'all': 75},1598818878.0,"{'type': 1, 'id': 5775, 'country': 'US', 'sunrise': 1598785158, 'sunset': 1598831519}",-14400.0,4218882.0,Rincon,200,,
50,,,,,,,,,,,,,404,,city not found
